,O2(g),O(g),Si(g),Si2(g),Si3(g),SiO(g),SiO2(g),Al(g),Al2(g),AlO(g),Al2O(g),AlO2(g),Al2O2(g),Ti(g),TiO(g),TiO2(g),Fe(g),FeO(g),Mg(g),Mg2(g),MgO(g),Ca(g),Ca2(g),CaO(g),Na(g),Na2(g),NaO(g),K(g),K2(g),KO(g)
2000,2.9709269609787945e-05,3.6453981339902944e-06,1.4391384210348988e-15,4.956339289828201e-28,3.5069001629068605e-39,9.069133773867039e-07,6.082521209071186e-08,5.744498220627507e-14,1.0047121640701399e-27,4.877843108623406e-12,7.4870815738607e-18,1.3440155732390485e-13,2.6841988614100083e-17,2.294288853451987e-19,2.0699652509874962e-13,2.8936708689760785e-10,1.9041081256164274e-06,7.201066153614314e-07,2.8478355671140436e-07,1.0505208689016393e-17,7.4048007570247546e-09,1.92206932141818e-12,2.6283708856822576e-27,3.0288005992843487e-13,0.00011536037146983758,6.516361072905344e-11,1.0104327858371644e-07,4.680783317398148e-06,6.5584796451935e-14,3.9865591309978735e-09
3000,0.053810864756391935,0.026270904151809535,2.2677520788274195e-07,2.3713565738143005e-14,7.393415435143637e-21,0.08470425708938568,0.004841167449509142,7.042015784347028e-07,4.6389834521637544e-15,1.4008115371200854e-05,4.9418180982452054e-09,8.402792912047182e-07,5.674622207080363e-09,3.185578478093453e-11,2.3904106869389544e-07,1.0483911322766104e-05,0.010407267325158188,0.005177251680879811,0.006043592127292897,1.7575615428609108e-09,0.0016073644435474618,6.475625281060224e-07,1.0214652098112645e-16,3.4339920492301825e-07,0.06337356017853571,3.6595189994214072e-06,0.0014499844886672096,0.003617054040499592,8.672657134840873e-09,9.09308914123518e-05
