Na,,O2,,O,,SiO,,Mg,,Fe,,SiO2,,NaO,,MgO,,FeO,,K,,AlO,,Na2,,TiO2,,Al,,Si,,Ca,,TiO,,CaO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2377.34566832715,-0.349474886029621,2364.13876226928,-0.648974469015443,2364.13876226928,-1.31402868085865,2074.36898556857,-2.95146076422909,2117.16961898717,-3.09532327820829,2239.99384532533,-2.49801533640493,2146.22481231448,-3.70921216709718,2361.49738105771,-2.72470424382779,2266.40765744107,-3.79659748819809,2311.31113803781,-2.66215211705548,2364.13876226928,-4.00051742147583,3227.87041845377,-3.91510576890821,3227.87041845377,-4.63329473590452,3344.09119176299,-4.50143485266849,3791.80530712468,-4.34414313708026,4059.90550009937,-4.27899948986616,3957.94818533264,-4.84425803865681,,,4099.52621827297,-4.63304452739743
2406.40086165445,-0.346222175437461,2393.19395559659,-0.654228847664317,2393.19395559659,-1.28850741313554,2096.01613037652,-2.8651051037677,2138.30066867976,-3.0311846441614,2269.04903865264,-2.44372009036657,2167.35586200706,-3.64659748819809,2390.55257438501,-2.69042567835656,2284.89732592208,-3.73644021427935,2340.36633136512,-2.62562167502045,2393.19395559659,-3.98100115792287,3256.92561178107,-3.87115962331069,3256.92561178107,-4.63329473590452,3373.1463850903,-4.48692275925731,3822.18119105777,-4.32155995692203,4088.96069342668,-4.25712292606299,3985.94682617532,-4.83966671255173,,,4128.58141160028,-4.61878264249335
2435.45605498176,-0.344720924394926,2422.24914892389,-0.658732600791923,2422.24914892389,-1.26423718794789,2111.7217702383,-2.81104501080516,2157.26771897795,-2.97181928475017,2298.10423197995,-2.39017546984947,2188.48691169965,-3.58432684599626,2419.60776771232,-2.65764836392787,2303.38699440309,-3.67628294036061,2369.42152469243,-2.59034227552086,2422.24914892389,-3.96373677093371,3285.98080510838,-3.83262751321895,3285.98080510838,-4.63329473590452,3402.20157841761,-4.47366170838158,3853.29079199408,-4.29264501251943,4118.01588675399,-4.22045069920727,4015.00201950263,-4.83871592022479,,,4157.63660492759,-4.60377013206799
2464.51124830907,-0.343720090366569,2451.3043422512,-0.663486562426619,2451.3043422512,-1.24021717126732,2134.3385968624,-2.72084388400412,2176.40355432462,-2.91865068584662,2327.15942530725,-2.34038397693871,2209.61796139224,-3.52377638728066,2448.66296103963,-2.62687271755589,2320.22579962687,-3.61985436893204,2398.47671801973,-2.55581350154255,2451.3043422512,-3.94747321797291,3315.03599843569,-3.79634727969101,3315.03599843569,-4.63679765500377,3431.25677174491,-4.4593998234775,3880.29157771238,-4.27624719628817,4147.07108008129,-4.19017546984948,4044.05721282993,-4.83180644064229,,,4186.69179825489,-4.5895082471639
2493.56644163637,-0.343720090366569,2480.35953557851,-0.668240524061315,2480.35953557851,-1.21719798861511,2153.91815564916,-2.65589690437824,2198.95413271445,-2.85613921795671,2356.21461863456,-2.29159331805631,2230.74901108482,-3.46391400195956,2477.71815436693,-2.59709790521227,2340.36633136512,-3.5600837267302,2427.53191134704,-2.52353660412804,2480.35953557851,-3.9314598735192,3344.09119176299,-3.76031725467016,3344.09119176299,-4.63954994858175,3460.31196507222,-4.44814044065848,3909.34677103969,-4.25322801363596,4176.1262734086,-4.16177680429485,4075.75378736881,-4.82729434723111,,,4202.54008552433,-4.58100115792287
2522.62163496368,-0.344220507380748,2509.41472890581,-0.673995319724367,2509.41472890581,-1.19392859745581,2170.24678371398,-2.5936752011683,2224.14555805589,-2.78100115792287,2385.26981196187,-2.24405370170935,2251.88006077741,-3.4057718001247,2506.77334769424,-2.56882434391119,2364.43224907056,-3.4947218510931,2456.58710467435,-2.49301116626315,2509.41472890581,-3.91819882264347,3373.1463850903,-3.72628889770602,3373.1463850903,-4.64380349320227,3489.36715839953,-4.43638064082529,3938.401964367,-4.23171008202629,4198.24784105553,-4.14922745761706,4104.80898069612,-4.82683101613805,,,,
2551.67682829099,-0.346972800958729,2531.86646920419,-0.678088536563643,2538.46992223312,-1.1731612913674,2187.16622109386,-2.53486747509193,2245.27660774848,-2.72167394079748,2414.32500528917,-2.19801533640493,2273.01111047,-3.34900574507883,2535.82854102155,-2.54155161663846,2383.80237795544,-3.43543540868739,2485.64229800165,-2.46273593690535,2538.46992223312,-3.90518798027483,3402.20157841761,-3.69376179178442,3402.20157841761,-4.64805703782278,3518.42235172683,-4.424370632485,3967.4571576943,-4.21019215041661,,,4133.86417402343,-4.82457913957425,,,,
2580.73202161829,-0.3499753030438,2567.52511556043,-0.686576192134223,2567.52511556043,-1.15139315125064,2205.65588957488,-2.46959879881408,2269.04903865264,-2.65714794691369,2443.38019861648,-2.1547292646785,2295.46285076837,-3.28925803865681,2564.88373434885,-2.51628055742245,2405.08017104867,-3.36655161663846,2514.69749132896,-2.433711750083,2567.52511556043,-3.89142651238492,3431.25677174491,-3.66223551989117,3431.25677174491,-4.65306120796457,3547.47754505414,-4.41411208369434,3996.51235102161,-4.19117630387783,,,4164.01994285556,-4.81760710786497,,,,
2609.7872149456,-0.35322801363596,2596.58030888773,-0.688507413135543,2596.58030888773,-1.13262751321895,2224.14555805589,-2.40590286172365,2292.8214695568,-2.59568005700543,2472.43539194379,-2.1126942354875,2319.23528167253,-3.22779014874855,2593.93892767616,-2.49025887268517,2426.21122074125,-3.30668923131736,2543.75268465627,-2.40668923131736,2596.58030888773,-3.88166838060844,3460.31196507222,-3.63120966501211,3460.31196507222,-4.65806537810635,3576.53273838145,-4.40385353490369,4025.56754434892,-4.16990858077525,,,4190.65387007225,-4.8168727175559,,,,
2638.84240827291,-0.357731766763567,2625.63550221504,-0.691509915220614,2625.63550221504,-1.11211041563763,2242.63522653691,-2.34417284861749,2316.59390046096,-2.53451797749473,2501.49058527109,-2.07341149987449,2343.00771257669,-3.16754550043051,2622.99412100347,-2.4662388560046,2447.34227043384,-3.24820299278525,2572.80787798357,-2.37991692105881,2625.63550221504,-3.87191024883196,3489.36715839953,-3.60168506117558,3489.36715839953,-4.66382017376941,3605.58793170876,-4.39384519462012,4054.62273767623,-4.14889106617975,,,,,,,,
2667.89760160021,-0.362986145412441,2654.69069554235,-0.695263042826953,2654.69069554235,-1.09459582014138,2261.12489501792,-2.28283602030819,2340.36633136512,-2.47457913957424,2530.5457785984,-2.03487938978275,2366.78014348085,-3.110358956088,2652.04931433077,-2.44472092439493,2468.47332012643,-3.19006079095039,2601.86307131088,-2.35564669587116,2654.69069554235,-3.8639035766051,3518.42235172683,-3.57040899778942,3518.42235172683,-4.67032559495373,3634.64312503606,-4.38383685433655,4083.67793100353,-4.12887438561261,,,,,,,,
2696.95279492752,-0.369241358089672,2683.74588886965,-0.698765961926202,2683.74588886965,-1.0755799736026,2279.61456349893,-2.22228556159259,2365.45945287507,-2.41467088269351,2559.60097192571,-1.99909957326899,2391.8732649908,-3.04852409370268,2681.10450765808,-2.42145153323563,2490.9250604248,-3.13054244232654,2630.91826463819,-2.33237730471186,2683.74588886965,-3.85539648736407,3547.47754505414,-3.54113460245998,3547.47754505414,-4.67833226718058,3663.69831836337,-4.37432893106716,4112.73312433084,-4.11035895608801,,,,,,,,
2726.00798825483,-0.37649740479526,2712.80108219696,-0.701017838490006,2712.80108219696,-1.05881600362762,2299.42492258573,-2.15967088269351,2391.8732649908,-2.35274427718892,2588.65616525301,-1.96356996526232,2425.99067823233,-2.96788189186782,2710.15970098539,-2.40268589520393,2514.69749132896,-3.06968617321339,2659.97345796549,-2.310358956088,2712.80108219696,-3.8498919002081,3576.53273838145,-3.51411208369434,3576.53273838145,-4.68658914791453,3692.75351169068,-4.36682267585448,4141.78831765815,-4.09084269253505,,,,,,,,
2755.06318158214,-0.38650574507883,2741.85627552427,-0.705021174603434,2740.53558491848,-1.04430391021644,2319.23528167253,-2.09803916578656,2418.28707710653,-2.29219381847332,2617.71135858032,-1.93079265083363,2409.04224286603,-3.00944152489534,2739.21489431269,-2.38166838060844,2538.46992223312,-3.0097473352929,2689.0286512928,-2.28934144149251,2741.85627552427,-3.84613877260176,3605.58793170876,-3.48809039895706,3605.58793170876,-4.69509623715556,3721.80870501798,-4.35856579512053,4170.84351098545,-4.07282768002462,,,,,,,,
2784.11837490944,-0.396764293869489,2770.91146885158,-0.70627221713888,2770.91146885158,-1.02779014874855,2339.04564075933,-2.03719381847332,2444.70088922227,-2.2354965707669,2646.76655190763,-1.90026721296874,2447.34227043384,-2.92054244232654,2768.27008764,-2.36515461914055,2563.56304374307,-2.94861583682195,2718.08384462011,-2.27057580346081,2770.91146885158,-3.84338647902378,3634.64312503606,-3.4615682972056,3634.64312503606,-4.70210207535406,3750.86389834529,-4.34955828886532,4194.61594188961,-4.05806537810636,,,,,,,,
2813.17356823675,-0.407773468181415,2799.96666217888,-0.710525761759397,2799.96666217888,-1.01202701280193,2360.17669045192,-1.97320299278525,2472.43539194379,-2.17574677927399,2675.82174523493,-1.87224386017474,2473.75608254957,-2.86219381847332,2797.32528096731,-2.34789023215139,2589.9768558588,-2.88586354324397,2747.13903794742,-2.25130974841494,2799.96666217888,-3.84311683684624,3663.69831836337,-3.43679765500377,3663.69831836337,-4.71010874758092,3779.9190916726,-4.343052867681,,,,,,,,,,
2842.22876156406,-0.419783476521699,2829.02185550619,-0.711276387280665,2829.02185550619,-0.997264710883667,2381.30774014451,-1.91093235058342,2501.49058527109,-2.11669757160093,2704.87693856224,-1.8452213414091,2501.49058527109,-2.80026721296874,2826.38047429462,-2.33162667919059,2616.39066797453,-2.82531308452837,2776.19423127472,-2.23529640396123,2829.02185550619,-3.84311683684624,3692.75351169068,-3.41202701280193,3692.75351169068,-4.71936646234322,3808.9742849999,-4.33304452739743,,,,,,,,,,
2871.28395489136,-0.434295569932875,2858.0770488335,-0.711276387280665,2858.0770488335,-0.983503242993759,2402.43878983709,-1.85038189186782,2530.5457785984,-2.06065086601294,2733.93213188955,-1.82170174174272,2530.5457785984,-2.73971675425314,2855.43566762192,-2.32503785517057,2642.80448009027,-2.76751491939076,2805.24942460203,-2.21734252653911,2858.0770488335,-3.84486829639587,3721.80870501798,-3.38850741313555,3721.80870501798,-4.72962501113388,3838.02947832721,-4.32766504449501,,,,,,,,,,
2900.33914821867,-0.448057037822784,2887.1322421608,-0.716530765929539,2887.1322421608,-0.971243026146386,2423.56983952968,-1.79189565333571,2554.31820950256,-2.01861583682195,2762.98732521686,-1.7989327675976,2559.60097192571,-2.68191858911553,2884.49086094923,-2.30798197527066,2670.53898281179,-2.70668923131736,2834.30461792934,-2.20171931301975,2887.1322421608,-3.84613877260177,3750.86389834529,-3.36573843899042,3750.86389834529,-4.73788189186782,3867.08467165452,-4.32053410204297,,,,,,,,,,
2929.39434154598,-0.463569965262316,2916.18743548811,-0.716780974436628,2914.20639957943,-0.958982809299014,2446.02157982805,-1.72993082153143,2591.29754646459,-1.94605536976607,2792.04251854416,-1.77916629553755,2588.65616525301,-2.62562167502045,2913.54605427654,-2.28700616209301,2699.5941761391,-2.64713960663012,2863.35981125664,-2.18974363749727,2916.18743548811,-3.84814044065848,3779.9190916726,-3.34171842230986,3779.9190916726,-4.74638898110886,3896.13986498182,-4.3127776383232,,,,,,,,,,
2958.44953487328,-0.481835186279831,2945.24262881542,-0.717156287197262,2945.24262881542,-0.945721758423284,2468.47332012643,-1.66976262581277,2620.35273979189,-1.89951658744747,2821.09771187147,-1.76015044899876,2617.71135858032,-2.57057580346081,2942.60124760384,-2.28058414374438,2728.6493694664,-2.58884102447833,2892.41500458395,-2.18289894838394,2945.24262881542,-3.85339481930735,3808.9742849999,-3.32095111622145,3808.9742849999,-4.75589690437825,3925.19505830913,-4.3057718001247,,,,,,,,,,
2987.50472820059,-0.4988493647619,2974.29782214272,-0.718407329732708,2974.29782214272,-0.935713418139714,2490.9250604248,-1.61005314569045,2649.4079331192,-1.85297780512887,2850.15290519878,-1.74488773006632,2646.76655190763,-2.51728139145081,2971.65644093115,-2.26957496943246,2757.70456279371,-2.5337951529187,2921.47019791126,-2.1709928176393,2974.29782214272,-3.86040065750585,3838.02947832721,-3.29542984849835,3838.02947832721,-4.76740649570435,3954.25025163644,-4.29926637894038,,,,,,,,,,
3016.5599215279,-0.51861583682195,3003.35301547003,-0.712877721726036,3003.35301547003,-0.925204660841966,2514.69749132896,-1.55011430776996,2678.46312644651,-1.8081904823599,2879.20809852608,-1.7291245941197,2675.82174523493,-2.46573843899042,3000.71163425846,-2.25856579512053,2786.75975612102,-2.4802505324016,2950.52539123856,-2.16248572839826,3003.35301547003,-3.86940816376107,3867.08467165452,-3.2779152530021,3867.08467165452,-4.77591358494539,3983.30544496374,-4.29326137477024,,,,,,,,,,
3045.6151148552,-0.53813210037491,3032.40820879734,-0.716780974436629,3032.40820879734,-0.91419548653004,2539.79061283891,-1.48797363498709,2707.51831977382,-1.76590524466182,2908.26329185339,-1.71711458577941,2703.82038607761,-2.41934978177608,3029.76682758576,-2.25030891438659,2815.81494944832,-2.4289577884483,2979.58058456587,-2.15497947318559,3032.40820879734,-3.8779152530021,3896.13986498182,-3.25564669587116,3896.13986498182,-4.78542150821478,4012.36063829105,-4.28673457654842,,,,,,,,,,
3074.67030818251,-0.560650866012942,3061.46340212464,-0.716780974436629,3061.46340212464,-0.90418714624647,2566.20442495464,-1.4260470294825,2736.57351310112,-1.72637230054172,2937.3184851807,-1.70735645400293,2733.93213188955,-2.36690607869017,3058.82202091307,-2.24355328469518,2843.54945216984,-2.38123051572103,3008.63577789318,-2.14722300946582,3061.46340212464,-3.88767338477858,3925.19505830913,-3.23713126634656,3925.19505830913,-4.79467922297708,4041.41583161836,-4.28252184263586,,,,,,,,,,
3103.72550150982,-0.58116796359426,3090.51859545195,-0.716780974436629,3090.51859545195,-0.896680891033793,2592.61823707037,-1.36384519462011,2765.62870642843,-1.68909123298542,2966.373678508,-1.69834894774772,2762.98732521686,-2.32336979845664,3087.87721424038,-2.23679765500377,2871.28395489136,-2.33671931880358,3037.69097122048,-2.14221883932403,3090.51859545195,-3.89843235058342,3954.25025163644,-3.21636396025815,3954.25025163644,-4.80543818878192,4070.47102494567,-4.27490627302688,,,,,,,,,,
3132.78069483712,-0.60418714624647,3119.57378877926,-0.716780974436629,3119.57378877926,-0.888424010299848,2620.35273979189,-1.30251908953254,2794.68389975574,-1.6545624590071,2995.42887183531,-1.69084269253504,2792.04251854416,-2.27983351822312,3116.93240756769,-2.23079265083363,2900.33914821867,-2.29459582014138,3066.74616454779,-2.13746487768934,3119.57378877926,-3.91144319295206,3983.30544496374,-3.19759832222645,3982.3149270094,-4.8163222588403,4099.52621827297,-4.26795695441995,,,,,,,,,,
